username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
DillZachary,2017-10-02 16:03,0,1,200+ hurt. Many more dead after a shooting in the Las Vegas Sunday night. This is the deadliest shooting in U.S. history. #VegasStrong pic.twitter.com/UATvJ2K8xm,,,#VegasStrong,914989200524627969,https://twitter.com/DillZachary/status/914989200524627969
SusanStormXO,2017-10-05 13:24,7,9,Can Deep State Be Trusted? Why Won’t t the FBI Release Any Information on Las Vegas Shooting ? http://www. thegatewaypundit.com/2017/10/is-dee p-state-still-running-comey-and-muellers-fbi-why-wont-the-fbi-release-any-information-on-las-vegas-shooting/ …,,,,916036339694370816,https://twitter.com/SusanStormXO/status/916036339694370816
DaCota_Overland,2017-10-05 12:55,0,10,"Guy that did Las Vegas shooting had a hotel booked in Chicago for lollapalooza, damn near took down half the region.. smh",,,,916029153014681603,https://twitter.com/DaCota_Overland/status/916029153014681603
stanley_bolten,2017-10-06 20:47,0,1,"I am seeing the police state #LasVegasShooting stuff being promoted, metal detectors may be heading for our hotels :(",,,#LasVegasShooting,916510307207516160,https://twitter.com/stanley_bolten/status/916510307207516160
marissametzz,2017-10-03 16:15,0,2,The definition of terrorism is when terror is created. The Las Vegas shooting has scared people all the way to MN. No one feels safe.,,,,915354760693338113,https://twitter.com/marissametzz/status/915354760693338113
govind2008,2017-10-05 14:58,0,0,"#LasVegasShooting stop blaming #Hilary you jerk, shouldn't you be more offended on 'WHY' are there 59 bodies in the morgue?",,,#LasVegasShooting #Hilary,916060065228091393,https://twitter.com/govind2008/status/916060065228091393
RaulOrozco,2017-10-02 16:02,0,0,#learningtofly #NeverLoanPeople #LasVegas #VegasStrong #rethinkingPHL petty reilly 64433 http:// nyccats.urgentpodr.org/opal-a1127136/,,,#learningtofly #NeverLoanPeople #LasVegas #VegasStrong #rethinkingPHL,914989110363746304,https://twitter.com/RaulOrozco/status/914989110363746304
RickMichel1,2017-10-04 17:43,1,3,It's all about #Vegas this week - here's #DeanMartin - #LasVegas . #VegasStrong #ThoughtsAndPrayers #VegasForever https://www. youtube.com/watch?v=rAGwye _ZJT4 … pic.twitter.com/UHeMQOB8Pz,,,#Vegas #DeanMartin #LasVegas #VegasStrong #ThoughtsAndPrayers #VegasForever,915739298313510912,https://twitter.com/RickMichel1/status/915739298313510912
newsbloktwit,2017-10-07 05:27,0,0,Families across 14 states unite in grief after Las Vegas shooting http:// ift.tt/2xZvJdU,,,,916641162760507393,https://twitter.com/newsbloktwit/status/916641162760507393
DryBonesSpeak,2017-10-06 12:22,0,1,#LasVegasShooting #GunControl #DonaldTrump #TellMeSomethingGood #friyay #RallyTogether #birthcontrol #Trump #MAGA pic.twitter.com/BsUJDmGmYz,,,#LasVegasShooting #GunControl #DonaldTrump #TellMeSomethingGood #friyay #RallyTogether #birthcontrol #Trump #MAGA,916383268236390402,https://twitter.com/DryBonesSpeak/status/916383268236390402
LynnJerchel,2017-10-05 16:59,0,0,US #healthcare system will bankrupt some victims of the Las Vegas shooting rampage. America #LasVegasShooting https:// ca.yahoo.com/news/las-vegas -shooting-victims-facing-090000736.html …,,,#healthcare #LasVegasShooting,916090562209398784,https://twitter.com/LynnJerchel/status/916090562209398784
Majik2u,2017-10-03 15:46,0,0,Las Vegas Shooting : Gunman’s Rifle Had ‘Bump Stock’ to Make It Rapid-Fire Weapon via @NYTimes https://www. nytimes.com/2017/10/03/us/ las-vegas-shooting-live-updates.html …,,@NYTimes,,915347308459511808,https://twitter.com/Majik2u/status/915347308459511808
Gou2theBou,2017-10-02 15:11,0,0,Thoughts and prayers to the victims of the false flag attack perpetrated in Las Vegas. #mkultra #PrayForVegas #wearefucked,,,#mkultra #PrayForVegas #wearefucked,914976041059446784,https://twitter.com/Gou2theBou/status/914976041059446784
Dowling_Group,2017-10-04 14:45,0,0,Want to help #LasVegasShooting victims? Check out these organizations accepting donations: http:// spr.ly/601784fzR pic.twitter.com/egV2FouxH1,,,#LasVegasShooting,915694356392112128,https://twitter.com/Dowling_Group/status/915694356392112128
sohillsrw,2017-10-06 20:37,0,0,@unlvClass Erupts After Professor Blames Las Vegas Shooting on Trump http:// ow.ly/LU9p30fHUH4,,@unlvClass,,916507699105411074,https://twitter.com/sohillsrw/status/916507699105411074
antoniosolak,2017-10-05 20:34,0,0,"6) Y, para algunos, es relativa, incluso, la vida. #PrayForVegas",,,#PrayForVegas,916144569175072769,https://twitter.com/antoniosolak/status/916144569175072769
presscoreca,2017-10-04 14:24,1,1,"taxi driver Cori Langdon video provided to The Winchester #News Gazette, evidence of 2 shooters in #LasVegasShooting http://www. winchesternewsgazette.com/breaking_news/ first-hand-account-of-las-vegas-tragedy/article_1bb1fdaa-a790-11e7-8608-bbf3d2103bd5.html …",,,#News #LasVegasShooting,915689004015726593,https://twitter.com/presscoreca/status/915689004015726593
johnmichaelvanO,2017-10-05 14:02,0,0,GUN CONTROL AND THE LAS VEGAS SHOOTING PSYOP https:// youtu.be/2Ev7oFrcGy4 via @YouTube,,@YouTube,,916046070727155712,https://twitter.com/johnmichaelvanO/status/916046070727155712
anchoevy,2017-10-03 03:00,0,2,#PrayForVegas You can donate blood to help victims of the shooting. pic.twitter.com/GYHXOAQYeF,,,#PrayForVegas,915154676269465600,https://twitter.com/anchoevy/status/915154676269465600
t0p_100,2017-10-05 16:09,0,0,Las Vegas shooting : NRA urges new rules for gun 'bump-stocks' Only 26 1/2 deaths and 250 injuries projected http://www. bbc.co.uk/news/world-us- canada-41519815 …,,,,916077956887465984,https://twitter.com/t0p_100/status/916077956887465984
Kraftycat2,2017-10-03 15:45,0,0,Disgusting. How social media trolls capitalized on the Las Vegas shooting https://www. cnet.com/news/las-vegas -shooting-fake-news-hoax-social-media-facebook-twitter/ …,,,,915347063721820160,https://twitter.com/Kraftycat2/status/915347063721820160
some1elsesmom2,2017-10-06 19:59,0,2,#LasVegas #LasVegasShooting #MAGA https:// twitter.com/FiveRights/sta tus/916434678822957056 …,,,#LasVegas #LasVegasShooting #MAGA,916498284713332736,https://twitter.com/some1elsesmom2/status/916498284713332736
OgdenLV,2017-10-06 14:30,0,0,There are still many ways to help victims of Sunday's shooting. This list from @KTNV outlines some. http:// ow.ly/t8Mq30fG6F2 #VegasStrong,,@KTNV,#VegasStrong,916415386932928514,https://twitter.com/OgdenLV/status/916415386932928514
SixieGames,2017-10-04 12:29,1,1,"What gun-packing, Tampa-bred Instagram star Dan Bilzerian did when caught in the Las Vegas shooting Spoiler: Run https:// shar.es/1V8dP4",,,,915660198496350208,https://twitter.com/SixieGames/status/915660198496350208
ConstitutionRep,2017-10-05 12:03,0,0,@Newsweek the #LasVegasShooting was done by a pathetic white #DEMOCRAT !! #FakeNews hoes!,,@Newsweek,#LasVegasShooting #DEMOCRAT #FakeNews,916015942156525568,https://twitter.com/ConstitutionRep/status/916015942156525568
ronaldfparsons,2017-10-04 14:53,0,0,"Momentum grows in Congress for ""bump stock"" ban after Las Vegas shooting #guncontrol https://www. huffingtonpost.com/entry/bump-sto ck-las-vegas_us_59d515e4e4b04b9f9206ff34?ncid=engmodushpmg00000004 … via @HuffPostPol",,@HuffPostPol,#guncontrol,915696370576773120,https://twitter.com/ronaldfparsons/status/915696370576773120
CwbyG2,2017-10-06 06:48,0,1,★ Ray Charles ★ America the Beautiful ★ Hey #America ! #Lasvegasshooting God Bless #America https://www. youtube.com/watch?v=1OTRRz SuWro&feature=share …,,,#America #Lasvegasshooting #America,916299192297025536,https://twitter.com/CwbyG2/status/916299192297025536
Bo_SOS,2017-10-02 16:27,0,0,Detroit Lions' Killebrew: Six friends wounded in Las Vegas shooting http:// on.freep.com/2yFzuBL via @freep,,@freep,,914995204792422401,https://twitter.com/Bo_SOS/status/914995204792422401
mjoneslv,2017-10-04 10:38,0,3,Thank you @RepJackyRosen ! #gunsense #PrayForVegas https:// twitter.com/meganmesserly/ status/915613745652539392 …,,@RepJackyRosen,#gunsense #PrayForVegas,915632329854353408,https://twitter.com/mjoneslv/status/915632329854353408
DailySourceNews,2017-10-07 09:54,0,0,Republicans eye narrowest possible gun control measure after Las Vegas shooting . (Vox) Story: http://www. source.ly/110pv,,,,916708235461255172,https://twitter.com/DailySourceNews/status/916708235461255172
Neptuno30,2017-10-05 16:40,0,0,#LasVegasShooting they are dogs and have me Kidnapped. They are making Quran go read 10:2 pic.twitter.com/p3kFAd3FI4,,,#LasVegasShooting,916085719826698240,https://twitter.com/Neptuno30/status/916085719826698240
RecordHIGH,2017-10-05 14:36,0,1,"""Taxi Driver Video"" the Zapruder Film of the Las Vegas shooting UNCUT ... then there's this. Wow https://www. youtube.com/watch?v=mBbOFw WquAw&feature=share …",,,,916054557968519169,https://twitter.com/RecordHIGH/status/916054557968519169
AQMANUK,2017-10-02 15:45,0,1,@OxfordWords Please on your next dictionary make sure you put the defination of terroist as a Muslim. #LasVegasShooting #Terrorism,,@OxfordWords,#LasVegasShooting #Terrorism,914984693078069248,https://twitter.com/AQMANUK/status/914984693078069248
GinMumpower1,2017-10-02 16:15,1,3,I've been hearing this all of my life as a preacher's kid. Seems like it's coming to fruition. #PrayForVegas #PrayForTheWorld pic.twitter.com/fpbuX1k9Kq,,,#PrayForVegas #PrayForTheWorld,914992287796613120,https://twitter.com/GinMumpower1/status/914992287796613120
puckett_alec97,2017-10-07 10:27,0,0,"Good luck to @MoTownPhenom tonight, go get that title from El CooCoo and then move on to that paper champ #UFC216 #VegasStrong pic.twitter.com/oUE0HsHO73",,@MoTownPhenom,#UFC216 #VegasStrong,916716739894890496,https://twitter.com/puckett_alec97/status/916716739894890496
