id,nouns
279785454855917568,
279922938482925569,
280735375469731840,
280876662424481794,
281101601693921280,
280322158759124992,
280928795911921664,
281080565736808449,
281204079634567169,
281517485814079489,
280750400695574528,
280065994020511744,guy
281874121862828032,
280700538390183936,
281798741512564737,
280083646965235712,
280020219471228928,
280805632054001664,
281782417054896128,
281792745998282752,
279843704238395393,
280755370450890752,
281366916008902658,
279701352710565888,
280834133830287360,
280289324522684416,
280357123249020929,
281523996531511296,suspect
280407783021613056,
279719312950972416,
279687624300572672,
279890500700475392,
471412170689748993,
471300737717518336,
471037735818788866,
470991826871021568,
470946925961678848,
471040856695529472,outcast
471509472473395200,killer
471981147065700352,
471039633758121984,
470600290450673664,student
470331934841634816,shooter
471034487682236416,
472033402216931328,
471041977035677697,gunman
470999891695894530,
471519388823068672,
471302477217026049,
470229006973812736,
471427368565747713,
471712887942033409,
471407488265236480,
470317482826141697,
470591465249570816,serial killer
471675775309996032,
471296704826720256,killer
471716841300045824,
471349999490838529,misogynist
471693651312005120,
471364006729777152,
470705458358272000,
470310005183221760,
470320548191293440,
470634490746769408,killer
471662097852424194,
472092506096934913,
470955587422130176,killer
471520084033163265,killer
471307991103590400,
470217500341567488,
471726740948398080,nigga
471402249370214400,
470580973013184514,
470709263837708288,suspect
471759993973116928,
470636980100153344,outcast
742920188048203777,
743104025143345152,killer; shooter
743047033746038784,
742057054668361728,
742715020652482560,
743088209593139200,
743864001289826306,
742442918049382400,
743239293137727488,
742973022592741376,
742806284479680512,
742048691314429952,
742426805978697728,
743871251899252736,
744008556106514432,
743059025764421633,
743075960946348032,
742472289644613632,
742137043925401600,
742858218792189952,
742133654919512065,
744278606961074176,
743943469639442432,
742204256665501697,
743899139084165120,
742794162613800960,
742342424630988802,
742492309825159168,
742480992770916353,
744126044559577088,killer
742104432385527809,
742472848414003202,
742098065008386048,
743546966961856513,regular
743186458178105345,
742077235553652736,shooter
742446658479263744,
742765214773415940,
743079036671434752,
742116564468518912,lunatic
742525033621409792,
742116703102869504,shooter
743445355149156355,actor
742135528611405824,
742134352713224192,
742052546404098049,asshat
743827091565711360,
743051222064730112,
742055377273913344,
742494504205180930,
743034276481011712,
742861333369114624,
742925623908261888,
742502121946370052,
743598324415004673,
742135127099183104,
742134287491796992,
742134764610584576,
742412748198281218,
742787214262800384,
742219693063176192,
743583710298128384,loner
742090880572653568,
742766947620659200,
742102481115713536,
742350100219990016,
742054238138703872,
743575405265850368,
742405806822285313,
743806735916359681,
742496349598285824,
742501449121304576,
742108153421156352,
742088365881888768,
742800037718065152,
741982586352738304,
743553830483296260,
743205467300761600,
742455254709641216,
743013067781476352,
742140284654456832,
743078537645592576,
742462146328559616,
742041274694434816,
742138463105880065,
742408849324400640,
